Property Address,Tax Roll,legal_desc,assessed_value_CAD,land_use,classifications,parcel_area (m2),year_built,living_area_above_grade_ft2,bldg_desc,finished_below_grade,garage,deck,veranda,fireplace,walkout_basement
917 REUNION GW NW,844572,Plan: 0712317 Block/Unit: 2 Lot: 5,401000,R1 Single Detached Residential District,Single Family Dwelling,405,2007,1436,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2337 REUNION RI NW,846317,Plan: 0814670 Block/Unit: 6 Lot: 28,325000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,321,2009,1412,2 Storey,None,None,Yes,Yes,Yes,No
338 REUNION HE NW,846272,Plan: 0814670 Block/Unit: 1 Lot: 99,415000,R1 Single Detached Residential District,Single Family Dwelling,412,2011,1390,Bungalow,Yes,None,Yes,No,Yes,No
179 REUNION GR NW,853255,Plan: 1312737 Block/Unit: 20 Lot: 60,519000,R1 Single Detached Residential District,Single Family Dwelling,385,2014,2474,2 Storey,Yes,Yes,Yes,Yes,Yes,No
101 REUNION CO NW,844523,Plan: 0712317 Block/Unit: 2 Lot: 30,307000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,330,2008,1215,2 Storey,None,Yes,Yes,No,Yes,No
2003 REUNION BV NW,844499,Plan: 0712317 Block/Unit: 2 Lot: 63,376000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,502,2007,1630,2 Storey,None,Yes,Yes,Yes,Yes,No
163 REUNION LP NW,858128,Plan: 1612753 Block/Unit: 23 Lot: 21,335000,R2 Low Density Residential District,Duplex,232,2017,1542,2 Storey,None,Yes,Yes,Yes,None,No
2297 REUNION RI NW,846297,Plan: 0814670 Block/Unit: 6 Lot: 38,321000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,321,2010,1357,2 Storey,None,None,Yes,Yes,None,No
128 REUNION LP NW,858111,Plan: 1612753 Block/Unit: 21 Lot: 38,327000,R2 Low Density Residential District,Duplex,233,2017,1298,2 Storey,Yes,Yes,Yes,Yes,None,No
201 REUNION HT NW,845214,Plan: 0714778 Block/Unit: 8 Lot: 7,351000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,345,2008,1215,2 Storey,Yes,Yes,Yes,No,Yes,No
144 REUNION LP NW,858119,Plan: 1612753 Block/Unit: 21 Lot: 34,318000,R2 Low Density Residential District,Duplex,234,2017,1320,2 Storey,None,Yes,Yes,Yes,None,No
140 REUNION LP NW,858117,Plan: 1612753 Block/Unit: 21 Lot: 35,316000,R2 Low Density Residential District,Duplex,234,2017,1298,2 Storey,None,Yes,Yes,Yes,None,No
127 REUNION LP NW,858110,Plan: 1612753 Block/Unit: 23 Lot: 12,357000,R2 Low Density Residential District,Single Family Dwelling,336,2017,1298,2 Storey,None,Yes,Yes,Yes,None,No
229 REUNION CO NW,844559,Plan: 0712317 Block/Unit: 2 Lot: 39,345000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,339,2008,1374,2 Storey,None,Yes,Yes,Yes,Yes,No
218 REUNION GR NW,853274,Plan: 1312737 Block/Unit: 5 Lot: 43,436000,R1 Single Detached Residential District,Single Family Dwelling,385,2013,2124,2 Storey,None,Yes,Yes,Yes,Yes,No
231 REUNION CO NW,844561,Plan: 0712317 Block/Unit: 2 Lot: 40,356000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,406,2008,1544,2 Storey,Yes,None,No,Yes,Yes,No
124 REUNION LP NW,858109,Plan: 1612753 Block/Unit: 21 Lot: 39,336000,R2 Low Density Residential District,Duplex,301,2017,1320,2 Storey,Yes,Yes,Yes,Yes,None,No
164 REUNION LP NW,858129,Plan: 1612753 Block/Unit: 21 Lot: 29,315000,R2 Low Density Residential District,Duplex,232,2017,1298,2 Storey,None,Yes,Yes,Yes,None,No
366 REUNION HE NW,846279,Plan: 0814670 Block/Unit: 1 Lot: 92,514000,R1 Single Detached Residential District,Single Family Dwelling,395,2010,2297,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
142 REUNION LD NW,854656,Plan: 1411585 Block/Unit: 20 Lot: 15,497000,R1 Single Detached Residential District,Single Family Dwelling,392,2014,2430,2 Storey,None,Yes,Yes,Yes,Yes,No
222 REUNION CO NW,844553,Plan: 0712317 Block/Unit: 2 Lot: 50,357000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,321,2008,1414,2 Storey,Yes,Yes,Yes,No,None,No
2064 REUNION BV NW,845157,Plan: 0714778 Block/Unit: 6 Lot: 1,423000,R1 Single Detached Residential District,Single Family Dwelling,407,2008,1908,2 Storey,Yes,Yes,No,Yes,Yes,No
1290 REUNION RD NW,849432,Plan: 1110748 Block/Unit: 13 Lot: 23,479000,R1 Single Detached Residential District,Single Family Dwelling,393,2012,2298,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
24 REUNION CL NW,846186,Plan: 0814670 Block/Unit: 1 Lot: 26,404000,R1 Single Detached Residential District,Single Family Dwelling,390,2010,1855,2 Storey,None,Yes,Yes,Yes,Yes,No
41 REUNION CX NW,858077,Plan: 1612753 Block/Unit: 23 Lot: 1,343000,R2 Low Density Residential District,Duplex,310,2017,1542,2 Storey,None,Yes,Yes,Yes,None,No
2391 REUNION ST NW,848160,Plan: 0915200 Block/Unit: 1 Lot: 116,342000,R2-T Townhouse Residential District,Freehold Townhouse,351,2012,1438,2 Storey,Yes,Yes,Yes,Yes,None,Yes
163 REUNION GR NW,853247,Plan: 1312737 Block/Unit: 20 Lot: 64,494000,R1 Single Detached Residential District,Single Family Dwelling,385,2014,1347,Bungalow,Yes,Yes,Yes,Yes,Yes,No
136 REUNION LP NW,858115,Plan: 1612753 Block/Unit: 21 Lot: 36,330000,R2 Low Density Residential District,Duplex,235,2017,1320,2 Storey,Yes,Yes,Yes,Yes,None,No
163 REUNION GV NW,849391,Plan: 1110748 Block/Unit: 11 Lot: 23,410000,R1 Single Detached Residential District,Single Family Dwelling,440,2013,1872,2 Storey,None,Yes,No,Yes,Yes,No
37 REUNION CX NW,858076,Plan: 1612753 Block/Unit: 23 Lot: 2,351000,R2 Low Density Residential District,Duplex,232,2017,1521,2 Storey,Yes,Yes,Yes,Yes,None,No
1288 REUNION PL NW,850394,Plan: 1210039 Block/Unit: 17 Lot: 18,371000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,282,2011,1737,3 Storey,Yes,Yes,Yes,Yes,Yes,No
132 REUNION LP NW,858113,Plan: 1612753 Block/Unit: 21 Lot: 37,316000,R2 Low Density Residential District,Duplex,235,2017,1298,2 Storey,None,Yes,Yes,Yes,None,No
187 REUNION CL NW,846236,Plan: 0814670 Block/Unit: 9 Lot: 4,431000,R1 Single Detached Residential District,Single Family Dwelling,427,2009,2048,2 Storey,Yes,Yes,Yes,No,None,No
2189 REUNION SQ NW,850428,Plan: 1210039 Block/Unit: 16 Lot: 21,335000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,311,2013,1412,2 Storey,None,None,Yes,Yes,None,No
19 REUNION GV NW,849329,Plan: 1110748 Block/Unit: 12 Lot: 44,369000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,301,2013,1584,2 Storey,None,Yes,Yes,Yes,Yes,No
199 REUNION GV NW,850356,Plan: 1210039 Block/Unit: 11 Lot: 32,458000,R1 Single Detached Residential District,Single Family Dwelling,405,2012,2116,2 Storey,Yes,Yes,Yes,Yes,Yes,No
156 REUNION LP NW,858125,Plan: 1612753 Block/Unit: 21 Lot: 31,334000,R2 Low Density Residential District,Duplex,233,2017,1521,2 Storey,None,Yes,Yes,Yes,None,No
1237 REUNION RD NW,849413,Plan: 1110748 Block/Unit: 18 Lot: 16,359000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,310,2013,1437,2 Storey,None,Yes,Yes,No,Yes,No
1931 REUNION BV NW,845147,Plan: 0714778 Block/Unit: 7 Lot: 5,309000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,321,2008,1258,2 Storey,None,None,Yes,Yes,Yes,No
26 REUNION GV NW,849332,Plan: 1110748 Block/Unit: 18 Lot: 6,337000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,281,2011,1357,2 Storey,None,Yes,Yes,Yes,None,No
174 REUNION GR NW,853252,Plan: 1312737 Block/Unit: 5 Lot: 54,473000,R1 Single Detached Residential District,Single Family Dwelling,385,2014,2267,2 Storey,Yes,Yes,Yes,Yes,Yes,No
1296 REUNION PL NW,850398,Plan: 1210039 Block/Unit: 17 Lot: 20,371000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,295,2013,1437,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2036 REUNION BV NW,844511,Plan: 0712317 Block/Unit: 4 Lot: 4,379000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,349,2008,1496,2 Storey,Yes,Yes,Yes,Yes,Yes,No
111 REUNION CL NW,846212,Plan: 0814670 Block/Unit: 9 Lot: 11,469000,R1 Single Detached Residential District,Single Family Dwelling,427,2009,2434,2 Storey,Yes,Yes,Yes,Yes,Yes,No
152 REUNION LP NW,858123,Plan: 1612753 Block/Unit: 21 Lot: 32,318000,R2 Low Density Residential District,Duplex,234,2017,1320,2 Storey,None,Yes,Yes,Yes,None,No
1939 REUNION BV NW,845149,Plan: 0714778 Block/Unit: 7 Lot: 3,345000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,321,2008,1380,2 Storey,None,Yes,Yes,Yes,Yes,No
302 REUNION HE NW,846263,Plan: 0814670 Block/Unit: 1 Lot: 108,429000,R1 Single Detached Residential District,Single Family Dwelling,601,2009,2048,2 Storey,None,Yes,Yes,Yes,None,No
1214 REUNION RD NW,849404,Plan: 1110748 Block/Unit: 13 Lot: 4,435000,R1 Single Detached Residential District,Single Family Dwelling,395,2012,2062,2 Storey,Yes,Yes,Yes,Yes,Yes,No
135 REUNION LP NW,858114,Plan: 1612753 Block/Unit: 23 Lot: 14,319000,R2 Low Density Residential District,Duplex,232,2018,1298,2 Storey,None,Yes,Yes,Yes,None,No
139 REUNION LP NW,858116,Plan: 1612753 Block/Unit: 23 Lot: 15,327000,R2 Low Density Residential District,Duplex,232,2017,1320,2 Storey,Yes,Yes,Yes,Yes,None,No
143 REUNION LP NW,858118,Plan: 1612753 Block/Unit: 23 Lot: 16,315000,R2 Low Density Residential District,Duplex,232,2017,1298,2 Storey,None,Yes,Yes,Yes,None,No
62 REUNION GV NW,849349,Plan: 1110748 Block/Unit: 15 Lot: 24,318000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,301,2011,1280,2 Storey,None,None,Yes,Yes,Yes,No
15 REUNION GV NW,849327,Plan: 1110748 Block/Unit: 12 Lot: 45,334000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,321,2013,1357,2 Storey,None,Yes,Yes,Yes,Yes,No
1292 REUNION PL NW,850396,Plan: 1210039 Block/Unit: 17 Lot: 19,366000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,302,2011,1544,2 Storey,None,Yes,Yes,Yes,Yes,No
108 REUNION LP NW,858105,Plan: 1612753 Block/Unit: 21 Lot: 43,363000,R2 Low Density Residential District,Duplex,334,2017,1521,2 Storey,Yes,Yes,Yes,Yes,None,No
31 REUNION GV NW,849335,Plan: 1110748 Block/Unit: 12 Lot: 41,397000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,321,2012,1735,2 Storey,None,Yes,Yes,Yes,Yes,Yes
207 REUNION GR NW,853269,Plan: 1312737 Block/Unit: 20 Lot: 53,631000,R1 Single Detached Residential District,Single Family Dwelling,406,2014,2518,2 Storey,None,Yes,Yes,Yes,Yes,No
2379 REUNION ST NW,846385,Plan: 0814670 Block/Unit: 1 Lot: 111,478000,R1 Single Detached Residential District,Single Family Dwelling,405,2010,2297,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
124 REUNION CL NW,846217,Plan: 0814670 Block/Unit: 1 Lot: 51,475000,R1 Single Detached Residential District,Single Family Dwelling,551,2011,2298,2 Storey,Yes,Yes,Yes,No,Yes,No
929 REUNION GW NW,844575,Plan: 0712317 Block/Unit: 2 Lot: 8,405000,R1 Single Detached Residential District,Single Family Dwelling,405,2007,1776,2 Storey,Yes,Yes,Yes,No,Yes,No
1899 REUNION BV NW,845140,Plan: 0714778 Block/Unit: 8 Lot: 12,374000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,386,2008,1630,2 Storey,Yes,Yes,Yes,Yes,Yes,No
1264 REUNION PL NW,850382,Plan: 1210039 Block/Unit: 17 Lot: 12,355000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,282,2013,1357,2 Storey,Yes,Yes,Yes,Yes,None,No
2575 REUNION SQ NW,850433,Plan: 1210039 Block/Unit: 17 Lot: 5,360000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,302,2012,1013,Split Level (with crawl),None,Yes,Yes,Yes,Yes,No
202 REUNION HT NW,845215,Plan: 0714778 Block/Unit: 7 Lot: 10,384000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,342,2008,1600,2 Storey,Yes,Yes,Yes,Yes,Yes,No
322 REUNION GR NW,853319,Plan: 1312737 Block/Unit: 5 Lot: 20,599000,R1 Single Detached Residential District,Single Family Dwelling,417,2013,2440,2 Storey,Yes,Yes,Yes,Yes,Yes,No
21 REUNION CX NW,858072,Plan: 1612753 Block/Unit: 23 Lot: 6,337000,R2 Low Density Residential District,Duplex,232,2018,1521,2 Storey,None,Yes,Yes,Yes,None,No
2101 REUNION BV NW,845173,Plan: 0714778 Block/Unit: 1 Lot: 9,452000,R1 Single Detached Residential District,Single Family Dwelling,389,2008,2353,2 Storey,Yes,Yes,Yes,No,Yes,No
2591 REUNION SQ NW,850437,Plan: 1210039 Block/Unit: 17 Lot: 9,392000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,322,2013,1578,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2325 REUNION RI NW,846311,Plan: 0814670 Block/Unit: 6 Lot: 31,388000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,342,2008,1600,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2559 REUNION SQ NW,850429,Plan: 1210039 Block/Unit: 17 Lot: 1,392000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,322,2013,1584,2 Storey,Yes,Yes,Yes,Yes,None,No
2587 REUNION SQ NW,850436,Plan: 1210039 Block/Unit: 17 Lot: 8,388000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,302,2013,1735,2 Storey,None,Yes,Yes,Yes,Yes,No
254 REUNION GD NW,846258,Plan: 0814670 Block/Unit: 1 Lot: 77,464000,R1 Single Detached Residential District,Single Family Dwelling,416,2010,2427,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2096 REUNION BV NW,845170,Plan: 0714778 Block/Unit: 6 Lot: 9,392000,R1 Single Detached Residential District,Single Family Dwelling,407,2008,1243,Bi-Level,Yes,Yes,Yes,Yes,Yes,No
136 REUNION CL NW,846220,Plan: 0814670 Block/Unit: 1 Lot: 54,422000,R1 Single Detached Residential District,Single Family Dwelling,494,2009,1236,Bungalow,Yes,Yes,Yes,No,Yes,No
159 REUNION LP NW,858126,Plan: 1612753 Block/Unit: 23 Lot: 20,315000,R2 Low Density Residential District,Duplex,232,2017,1298,2 Storey,None,Yes,Yes,Yes,None,No
192 REUNION LP NW,858137,Plan: 1612753 Block/Unit: 21 Lot: 22,408000,R1 Single Detached Residential District,Single Family Dwelling,361,2017,1769,2 Storey,None,Yes,No,Yes,Yes,No
213 REUNION CO NW,844548,Plan: 0712317 Block/Unit: 2 Lot: 34,318000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,330,2008,1413,2 Storey,None,Yes,Yes,Yes,None,No
100 REUNION LP NW,858103,Plan: 1612753 Block/Unit: 21 Lot: 45,345000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,281,2017,1475,2 Storey,None,None,No,Yes,None,No
211 REUNION GR NW,853271,Plan: 1312737 Block/Unit: 20 Lot: 52,546000,R1 Single Detached Residential District,Single Family Dwelling,385,2013,2474,2 Storey,None,Yes,Yes,Yes,Yes,No
90 REUNION GV NW,849363,Plan: 1110748 Block/Unit: 15 Lot: 17,397000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,301,2011,1656,2 Storey,Yes,Yes,Yes,Yes,Yes,No
160 REUNION LP NW,858127,Plan: 1612753 Block/Unit: 21 Lot: 30,335000,R2 Low Density Residential District,Duplex,233,2017,1542,2 Storey,None,Yes,Yes,Yes,None,No
1929 REUNION TC NW,854685,Plan: 1411585 Block/Unit: 19 Lot: 5,542000,R1 Single Detached Residential District,Single Family Dwelling,405,2014,2474,2 Storey,Yes,Yes,Yes,Yes,Yes,No
25 REUNION CX NW,858073,Plan: 1612753 Block/Unit: 23 Lot: 5,353000,R2 Low Density Residential District,Duplex,232,2018,1542,2 Storey,Yes,Yes,Yes,Yes,None,No
91 REUNION GV NW,849364,Plan: 1110748 Block/Unit: 12 Lot: 26,348000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,301,2012,1289,2 Storey,Yes,Yes,Yes,Yes,None,No
207 REUNION GV NW,850358,Plan: 1210039 Block/Unit: 11 Lot: 34,451000,R1 Single Detached Residential District,Single Family Dwelling,388,2012,2298,2 Storey,None,Yes,Yes,Yes,Yes,No
180 REUNION LP NW,858134,Plan: 1612753 Block/Unit: 21 Lot: 25,476000,R1 Single Detached Residential District,Single Family Dwelling,361,2017,2151,2 Storey,None,Yes,Yes,Yes,Yes,No
2336 REUNION RI NW,846316,Plan: 0814670 Block/Unit: 10 Lot: 17,363000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,342,2010,1584,2 Storey,None,Yes,Yes,Yes,None,No
132 REUNION CO NW,844539,Plan: 0712317 Block/Unit: 2 Lot: 18,422000,R1 Single Detached Residential District,Single Family Dwelling,1002,2007,1830,2 Storey,None,Yes,Yes,No,Yes,No
184 REUNION LP NW,858135,Plan: 1612753 Block/Unit: 21 Lot: 24,420000,R1 Single Detached Residential District,Single Family Dwelling,361,2017,1356,Bi-Level,Yes,Yes,Yes,Yes,Yes,No
2280 REUNION RI NW,846288,Plan: 0814670 Block/Unit: 10 Lot: 3,355000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,342,2009,1357,2 Storey,Yes,Yes,Yes,Yes,Yes,No
130 REUNION CO NW,844537,Plan: 0712317 Block/Unit: 2 Lot: 17,357000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,326,2007,1356,2 Storey,Yes,Yes,Yes,Yes,Yes,No
196 REUNION CL NW,846241,Plan: 0814670 Block/Unit: 1 Lot: 69,394000,R1 Single Detached Residential District,Single Family Dwelling,389,2008,1855,2 Storey,None,Yes,Yes,Yes,Yes,No
394 REUNION GR NW,853343,Plan: 1312737 Block/Unit: 5 Lot: 2,551000,R1 Single Detached Residential District,Single Family Dwelling,446,2013,2474,2 Storey,Yes,Yes,Yes,No,Yes,No
2165 REUNION SQ NW,850421,Plan: 1210039 Block/Unit: 16 Lot: 15,390000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,282,2013,1437,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
147 REUNION LP NW,858120,Plan: 1612753 Block/Unit: 23 Lot: 17,329000,R2 Low Density Residential District,Duplex,232,2017,1320,2 Storey,Yes,Yes,Yes,Yes,None,No
1268 REUNION PL NW,850384,Plan: 1210039 Block/Unit: 17 Lot: 13,340000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,282,2013,1280,2 Storey,None,Yes,Yes,Yes,None,No
2313 REUNION RI NW,846305,Plan: 0814670 Block/Unit: 6 Lot: 34,368000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,321,2010,1590,2 Storey,None,Yes,Yes,Yes,None,No
92 REUNION LP NW,858101,Plan: 1612753 Block/Unit: 21 Lot: 47,354000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,281,2018,1551,2 Storey,None,None,No,Yes,None,No
231 REUNION GR NW,853281,Plan: 1312737 Block/Unit: 20 Lot: 47,520000,R1 Single Detached Residential District,Single Family Dwelling,385,2014,2124,2 Storey,Yes,Yes,Yes,Yes,Yes,No
226 REUNION LD NW,854666,Plan: 1411585 Block/Unit: 20 Lot: 5,595000,R1 Single Detached Residential District,Single Family Dwelling,614,2015,2509,2 Storey,Yes,Yes,Yes,Yes,Yes,No
303 REUNION GR NW,853309,Plan: 1312737 Block/Unit: 20 Lot: 36,595000,R1 Single Detached Residential District,Single Family Dwelling,421,2014,2718,2 Storey,Yes,Yes,Yes,Yes,Yes,No
378 REUNION GR NW,853339,Plan: 1312737 Block/Unit: 5 Lot: 6,497000,R1 Single Detached Residential District,Single Family Dwelling,406,2013,2417,2 Storey,None,Yes,Yes,Yes,Yes,No
131 REUNION LP NW,858112,Plan: 1612753 Block/Unit: 23 Lot: 13,321000,R2 Low Density Residential District,Duplex,232,2018,1320,2 Storey,None,Yes,Yes,Yes,None,No
2386 REUNION ST NW,846388,Plan: 0814670 Block/Unit: 11 Lot: 4,444000,R1 Single Detached Residential District,Single Family Dwelling,453,2010,2278,2 Storey,None,Yes,Yes,Yes,Yes,No
7 REUNION GV NW,849323,Plan: 1110748 Block/Unit: 12 Lot: 47,376000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,301,2011,1656,2 Storey,None,Yes,Yes,Yes,Yes,No
84 REUNION LP NW,858099,Plan: 1612753 Block/Unit: 21 Lot: 49,335000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,281,2018,1355,2 Storey,None,None,No,Yes,None,No
2367 REUNION ST NW,846379,Plan: 0814670 Block/Unit: 10 Lot: 25,386000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,413,2009,1584,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2387 REUNION ST NW,846389,Plan: 0814670 Block/Unit: 1 Lot: 113,427000,R1 Single Detached Residential District,Single Family Dwelling,414,2011,1776,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
342 REUNION GR NW,853329,Plan: 1312737 Block/Unit: 5 Lot: 15,440000,R1 Single Detached Residential District,Single Family Dwelling,419,2013,2180,2 Storey,None,Yes,Yes,Yes,Yes,No
176 REUNION GV NW,849398,Plan: 1110748 Block/Unit: 15 Lot: 2,471000,R1 Single Detached Residential District,Single Family Dwelling,379,2010,2297,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
151 REUNION LP NW,858122,Plan: 1612753 Block/Unit: 23 Lot: 18,315000,R2 Low Density Residential District,Duplex,232,2017,1298,2 Storey,None,Yes,Yes,Yes,None,No
2024 REUNION LI NW,850374,Plan: 1210039 Block/Unit: 14 Lot: 3,376000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,305,2013,1888,3 Storey,None,Yes,Yes,Yes,Yes,No
115 REUNION CL NW,846214,Plan: 0814670 Block/Unit: 9 Lot: 12,389000,R1 Single Detached Residential District,Single Family Dwelling,484,2009,1704,2 Storey,None,Yes,Yes,Yes,Yes,No
179 REUNION GR NW,853255,Plan: 1312737 Block/Unit: 20 Lot: 60,519000,R1 Single Detached Residential District,Single Family Dwelling,385,2014,2474,2 Storey,Yes,Yes,Yes,Yes,Yes,No
190 REUNION GR NW,853260,Plan: 1312737 Block/Unit: 5 Lot: 50,525000,R1 Single Detached Residential District,Single Family Dwelling,489,2014,2474,2 Storey,None,Yes,Yes,Yes,Yes,No
166 REUNION GR NW,853248,Plan: 1312737 Block/Unit: 5 Lot: 56,429000,R1 Single Detached Residential District,Single Family Dwelling,385,2014,2024,2 Storey,None,Yes,Yes,Yes,Yes,No
35 REUNION GV NW,849337,Plan: 1110748 Block/Unit: 12 Lot: 40,377000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,301,2013,1414,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2124 REUNION BV NW,845184,Plan: 0714778 Block/Unit: 6 Lot: 16,405000,R1 Single Detached Residential District,Single Family Dwelling,390,2007,1743,2 Storey,Yes,Yes,Yes,No,Yes,No
2324 REUNION RI NW,846310,Plan: 0814670 Block/Unit: 10 Lot: 14,366000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,321,2008,1442,2 Storey,Yes,Yes,Yes,No,Yes,No
148 REUNION LP NW,858121,Plan: 1612753 Block/Unit: 21 Lot: 33,316000,R2 Low Density Residential District,Duplex,234,2017,1298,2 Storey,None,Yes,Yes,Yes,None,No
175 REUNION GV NW,849397,Plan: 1110748 Block/Unit: 11 Lot: 26,396000,R1 Single Detached Residential District,Single Family Dwelling,440,2012,1242,Bi-Level,Yes,Yes,Yes,Yes,None,No
125 REUNION CO NW,844534,Plan: 0712317 Block/Unit: 2 Lot: 24,357000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,330,2007,1600,2 Storey,None,Yes,Yes,Yes,Yes,No
30 RIDGEBROOK DR SW,112700,Plan: 8111923 Block/Unit: 7 Lot: 8,278000,R1 Single Detached Residential District,Single Family Dwelling,447,1982,884,Bi-Level,Yes,Yes,Yes,No,Yes,No
36 RIDEAU CL SW,160800,Plan: 7911057 Block/Unit: 2 Lot: 15,313000,R1 Single Detached Residential District,Single Family Dwelling,461,1983,1154,Bungalow,Yes,None,Yes,No,Yes,No
125 RIDGEGATE WY SW,146100,Plan: 8111923 Block/Unit: 5 Lot: 3,292000,R1 Single Detached Residential District,Single Family Dwelling,499,1982,1043,Bungalow,Yes,None,No,Yes,None,No
85 RIDEAU CL SW,381200,Plan: 7911057 Block/Unit: 3 Lot: 6,324000,R1 Single Detached Residential District,Single Family Dwelling,510,1983,1110,Bungalow,Yes,None,Yes,No,None,No
17 RIDGEGATE WY SW,73200,Plan: 7911057 Block/Unit: 2 Lot: 5,300000,R1 Single Detached Residential District,Single Family Dwelling,465,1979,1115,Bungalow,Yes,None,Yes,No,Yes,No
118 RIDGEBROOK DR SW,296100,Plan: 8111923 Block/Unit: 7 Lot: 17,294000,R1 Single Detached Residential District,Single Family Dwelling,512,1982,884,Bi-Level,Yes,Yes,Yes,No,None,No
33 RIDEAU CL SW,395500,Plan: 7911057 Block/Unit: 3 Lot: 2,377000,R1 Single Detached Residential District,Single Family Dwelling,488,1981,1497,Bungalow,Yes,Yes,Yes,No,Yes,No
2161 SAGEWOOD HT SW,842301,Plan: 0610322 Block/Unit: 18 Lot: 3,375000,R1 Single Detached Residential District,Single Family Dwelling,368,2006,1863,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2347 SAGEWOOD GA SW,841701,Plan: 0513786 Block/Unit: 19 Lot: 71,328000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,342,2005,1394,2 Storey,Yes,None,Yes,Yes,Yes,No
450 SAGEWOOD DR SW,841710,Plan: 0513786 Block/Unit: 19 Lot: 8,326000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,342,2005,1226,2 Storey,Yes,Yes,Yes,No,None,No
150 SAGEWOOD LD SW,842112,Plan: 0610322 Block/Unit: 11 Lot: 13,460000,R1 Single Detached Residential District,Single Family Dwelling,559,2006,1863,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
2156 SAGEWOOD HT SW,842268,Plan: 0610322 Block/Unit: 16 Lot: 49,366000,R1 Single Detached Residential District,Single Family Dwelling,434,2006,1407,2 Storey,Yes,Yes,Yes,No,Yes,No
1830 SAGEWOOD LI SW,504358,Plan: 0410873 Block/Unit: 7 Lot: 21,345000,DC-12-A,Single Family Dwelling,342,2004,1437,2 Storey,Yes,Yes,Yes,Yes,Yes,No
130 SAGEWOOD LD SW,842107,Plan: 0610322 Block/Unit: 11 Lot: 8,375000,R1 Single Detached Residential District,Single Family Dwelling,372,2006,1732,2 Storey,Yes,Yes,Yes,Yes,None,No
